dish_id,name_vi,name_en,region,origin,roles,serving_g,verified_by,note
FNDDS-2705469,,"Chocolate milk, fat free (skim)",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705469"
FNDDS-2705470,,"Chocolate milk, low fat (1%)",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705470"
FNDDS-2705473,,"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",,foreign,,300,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705473"
FNDDS-2705474,,"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk",,foreign,,300,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705474"
FNDDS-2705479,,"Chocolate milk, reduced sugar, whole",,foreign,,279,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705479"
FNDDS-2705480,,"Chocolate milk, reduced sugar, reduced fat (2%)",,foreign,,279,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705480"
FNDDS-2705481,,"Chocolate milk, reduced sugar, low fat (1%)",,foreign,,279,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705481"
FNDDS-2705482,,"Chocolate milk, reduced sugar, fat free (skim)",,foreign,,279,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705482"
FNDDS-2705483,,"Hot chocolate / cocoa, dry mix, made with water",,foreign,,208,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705483"
FNDDS-2705484,,"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk",,foreign,,208,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705484"
FNDDS-2705485,,"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk",,foreign,,208,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705485"
FNDDS-2705488,,"Hot chocolate / cocoa, dry mix, reduced sugar, made with water",,foreign,,196,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705488"
FNDDS-2705489,,"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk",,foreign,,196,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705489"
FNDDS-2705491,,"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk",,foreign,,300,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705491"
