food_description_en,total_purine_mg_100g,n_samples,country_of_origin,year,source_group,source_code,source_citation
"Beef heart, raw",184.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beef kidney, raw",174.3,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beef large intestine, raw",88.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beef liver, raw",219.8,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beef stomach, raw",84.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beef tongue, raw",90.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beef brisket, raw",79.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beef chuck ribs, raw",77.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beef clod (shoulder), raw",103.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beef front, raw (unspecified)",77.42,1,Czech Republic,2010,nonNAm,f,"Havlik, J.,et al. (2010). Dietary purines in vegetarian meat analogues. Journal of the Science of Food and Agriculture, 90(14), 2352-7. [Czech Republic, Vietnam, Great Britain, 2010]"
"Beef neck, raw",100.6,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beef rib loin, raw",74.3,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beef round (topside), cooked",143.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beef round (topside), raw",123.0,2,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beef shin, raw",106.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beef sirloin, raw",90.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beef, tenderloin, raw",98.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Amazake (fermented drink made from sake lees),6.21,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Fruit juice,1.06,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Green tea beverage,1.67,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Green tea leaves, dried",204.3,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Vegetable juice,13.7,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Barley, raw",44.3,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Bread (no further specified),4.4,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Bread flour,25.8,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Buckwheat flour,75.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Cake flour,15.7,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Gelatin noodle (dried),0.6,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Pastry flour,25.8,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Ramen, noodle",21.6,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Rice bran,100.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Rice crackers,14.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Rice, white, raw3",32.6,3,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Soba (buckwheat noodles),7.6,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Spaghetti,6.8,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Udon (wheat noodles),12.1,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Cheese, grated",13.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Cream, animal, fresh",0.2,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Cream, vegetable, fresh",0.1,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Egg, chicken, raw",0.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Egg, quail, raw",0.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Milk,0.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Yogurt (not further specified),5.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Yogurt, liquid",1.4,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Anchovy, dried",1109.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Anchovy, fresh",303.9,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Arabesque greenling, raw",150.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Ayu, raw",133.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Barracuda, raw",147.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beltfish, raw",139.26,3,China,2017,nonNAm,c,"Qu, X., et al. (2017). Determination of four different purines and their content change in seafood by high‐performance liquid chromatography. Journal of the Science of Food and Agriculture, 97(2), 520-5. [China, 2017]"
"Bonito, dried",492.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Carp, raw",103.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Clams, raw",145.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Clams, raw",110.2,3,China,2017,nonNAm,c,"Qu, X., et al. (2017). Determination of four different purines and their content change in seafood by high‐performance liquid chromatography. Journal of the Science of Food and Agriculture, 97(2), 520-5. [China, 2017]"
"Cod, fresh",97.9,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Conger eel, fresh",95.4,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Crab ovary, raw",152.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Crab, red king, raw",99.5,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Crab, snow, raw",136.5,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Cutlassfish (hairtail), fresh",385.5,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Eel, Japanese, raw",92.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Engawa (flesh of fish fins),19.0,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Fat greenling, raw",129.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Fish ball, processed",67.7,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Fish product (hanpen), processed",12.5,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Fish product (kamaboko), processed",26.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Fish product (narutomaki), processed",32.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Fish product (sasakamaboko), processed",47.8,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Fish product (Satsuma age), processed",21.5,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Fish sausage, processed",22.7,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Fishcake tube, processed",47.7,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Flounder, yellow striped, raw",113.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Flying fish, raw",154.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Gnomefish, meat, raw",150.7,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Gnomefish, skin, raw",382.6,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Halibut, bastard, raw",133.7,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Herring, raw",139.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Lobster, spiny, raw",102.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mackerel, fermented (Heshiko)",207.0,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Mackerel, jack, half-dried",245.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mackerel, Japanese, skin, raw",1175.0,3,China,2017,nonNAm,c,"Qu, X., et al. (2017). Determination of four different purines and their content change in seafood by high‐performance liquid chromatography. Journal of the Science of Food and Agriculture, 97(2), 520-5. [China, 2017]"
"Mackerel, raw (unspecified)",204.8,2,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mackerel, Spanish, raw",161.95,4,"Japan, China","2014, 2017",nonNAm,"b,c",
"Milt, cod",559.9,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Milt, globefish",375.4,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Milt, pigfish, striped, raw",306.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Monkfish liver, raw",104.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Monkfish liver, steamed",398.7,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Monkfish, raw",70.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Octopus organs, raw",79.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Octopus, raw",137.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Okiami (krill), raw",225.6,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Oysters, raw",122.0,4,"Japan, China","2014, 2017",nonNAm,"b,c",
"Pacific saury, half-dried",209.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Pacific saury, raw",154.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Pigfish, striped, raw",149.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Red seabream, raw",129.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Rockfish (Mebaru), raw",124.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Roe, flying fish, in soy sauce",91.6,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Roe, mixed species, raw",80.79,8,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Sablefish meat, raw",123.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Sablefish skin, raw",66.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Sailfin sandfish, raw",98.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Salmon, canned",132.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Salmon, chum, raw",124.7,3,China,2017,nonNAm,c,"Qu, X., et al. (2017). Determination of four different purines and their content change in seafood by high‐performance liquid chromatography. Journal of the Science of Food and Agriculture, 97(2), 520-5. [China, 2017]"
"Salmon, mixed species, raw",119.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Sardine, baby, dried",746.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Sardine, fermented (Heshiko)",116.3,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Sardine, half-dried",305.3,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
